"Country","Code","Continent.region","Year","Population","Total.Death.Rate","Average.death.rate","Factor","Death_rate","normalised death rate"
"Equatorial Guinea","GNQ","Africa",2019,1553031,3674,10.3024,"Diet low in nuts and seeds",1,2.60771152452031e-06
"Equatorial Guinea","GNQ","Africa",2019,1553031,3674,10.3024,"Diet low in vegetables",56,0.000146031845373137
"Eritrea","ERI","Africa",2019,3498818,28504,48.1877,"Diet low in whole grains",485,0.00126474008939235
"Eritrea","ERI","Africa",2019,3498818,28504,48.1877,"Diet low in fruits",555,0.00144727989610877
"Eritrea","ERI","Africa",2019,3498818,28504,48.1877,"Diet low in nuts and seeds",152,0.000396372151727087
"Eritrea","ERI","Africa",2019,3498818,28504,48.1877,"Diet low in vegetables",494,0.00128820949311303
"Estonia","EST","Europe",2019,1326898,16275,123.8226,"Diet low in whole grains",789,0.00205748439284653
"Estonia","EST","Europe",2019,1326898,16275,123.8226,"Diet low in fruits",302,0.000787528880405134
"Estonia","EST","Europe",2019,1326898,16275,123.8226,"Diet low in nuts and seeds",364,0.000949206994925393
"Estonia","EST","Europe",2019,1326898,16275,123.8226,"Diet low in vegetables",188,0.000490249766609819
"Eswatini","SWZ","Africa",2019,1169613,7449,32.3184,"Diet low in whole grains",107,0.000279025133123673
"Eswatini","SWZ","Africa",2019,1169613,7449,32.3184,"Diet low in fruits",150,0.000391156728678047
"Eswatini","SWZ","Africa",2019,1169613,7449,32.3184,"Diet low in nuts and seeds",17,4.43310959168453e-05
"Eswatini","SWZ","Africa",2019,1169613,7449,32.3184,"Diet low in vegetables",104,0.000271201998550112
"Ethiopia","ETH","Africa",2019,114120594,347063,19.5066,"Diet low in whole grains",6495,0.0169370863517594
"Ethiopia","ETH","Africa",2019,114120594,347063,19.5066,"Diet low in fruits",7703,0.02008720187338
"Ethiopia","ETH","Africa",2019,114120594,347063,19.5066,"Diet low in nuts and seeds",3192,0.00832381518626883
"Ethiopia","ETH","Africa",2019,114120594,347063,19.5066,"Diet low in vegetables",4871,0.0127021628359384
"Fiji","FJI","Oceania",2019,918465,11174,103.3246,"Diet low in whole grains",416,0.00108480799420045
"Fiji","FJI","Oceania",2019,918465,11174,103.3246,"Diet low in fruits",353,0.00092052216815567
"Fiji","FJI","Oceania",2019,918465,11174,103.3246,"Diet low in nuts and seeds",14,3.65079613432844e-05
